#Scan#,inchi_combined,inchi_key,inchi_key1,ClassyFy Status,Kingdom,Superclass,Class,Subclass,Parent Level 1,Parent Level 2,Parent Level 3,Parent Level 4,Parent Level 5
1174,"InChI=1S/C5H13O3P/c1-4-7-9(3,6)8-5-2/h4-5H2,1-3H3",NYYLZXREFNYPKB-UHFFFAOYSA-N,NYYLZXREFNYPKB-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Organic phosphonic acids and derivatives,Phosphonic acid diesters,Dialkyl alkylphosphonates,NA,NA,NA,NA
1185,"InChI=1S/C8H14O4/c1-11-7(9)5-3-4-6-8(10)12-2/h3-6H2,1-2H3",UDSFAEKRVUSQDD-UHFFFAOYSA-N,UDSFAEKRVUSQDD-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid methyl esters,NA,NA,NA,NA
1187,"InChI=1S/C15H12O5/c16-10-3-4-11(14(19)8-10)12(17)5-1-9-2-6-13(18)15(20)7-9/h1-8,16,18-20H/b5-1+",AYMYWHCQALZEGT-ORCRQEGFSA-N,AYMYWHCQALZEGT-ORCRQEGFSA-N,Completed,Organic compounds,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",Chalcones and dihydrochalcones,2'-Hydroxychalcones,NA,NA,NA,NA
1188,"InChI=1S/C3H7O7P/c4-1-2(3(5)6)10-11(7,8)9/h2,4H,1H2,(H,5,6)(H2,7,8,9)/t2-/m1/s1",GXIURPTVHJPJLF-UWTATZPHSA-N,GXIURPTVHJPJLF-UWTATZPHSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives,NA,NA,NA,NA
1197,"InChI=1S/C5H13O3P/c1-4-7-9(3,6)8-5-2/h4-5H2,1-3H3",NYYLZXREFNYPKB-UHFFFAOYSA-N,NYYLZXREFNYPKB-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Organic phosphonic acids and derivatives,Phosphonic acid diesters,Dialkyl alkylphosphonates,NA,NA,NA,NA
1203,"InChI=1S/C12H18O3/c1-2-3-4-5-10-9(8-12(14)15)6-7-11(10)13/h3-4,9-10H,2,5-8H2,1H3,(H,14,15)/b4-3-/t9-,10+/m1/s1",ZNJFBWYDHIGLCU-QKMQQOOLSA-N,ZNJFBWYDHIGLCU-QKMQQOOLSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Jasmonic acids,NA,NA,NA,NA
1207,"InChI=1S/C7H7NO2/c9-7(10)5-6-3-1-2-4-8-6/h1-4H,5H2,(H,9,10)",BPSNETAIJADFTO-UHFFFAOYSA-N,BPSNETAIJADFTO-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,NA,Pyridines and derivatives,NA,NA,NA,NA
1208,"InChI=1S/C10H12N2O/c1-12-9(4-5-10(12)13)8-3-2-6-11-7-8/h2-3,6-7,9H,4-5H2,1H3/t9-/m0/s1",UIKROCXWUNQSPJ-VIFPVBQESA-N,UIKROCXWUNQSPJ-VIFPVBQESA-N,Completed,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,Pyrrolidinylpyridines,Pyrrolidinylpyridines,NA,NA,NA,NA
1209,"InChI=1S/C8H9NO2/c1-6(10)9-7-3-2-4-8(11)5-7/h2-5,11H,1H3,(H,9,10)",QLNWXBAGRTUKKI-UHFFFAOYSA-N,QLNWXBAGRTUKKI-UHFFFAOYSA-N,Completed,Organic compounds,Benzenoids,Benzene and substituted derivatives,Anilides,Acetanilides,NA,NA,NA,NA
1210,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",RZVAJINKPMORJF-UHFFFAOYSA-N,RZVAJINKPMORJF-UHFFFAOYSA-N,Completed,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,1-hydroxy-2-unsubstituted benzenoids,NA,NA,NA,NA
1211,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",RZVAJINKPMORJF-UHFFFAOYSA-N,RZVAJINKPMORJF-UHFFFAOYSA-N,Completed,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,1-hydroxy-2-unsubstituted benzenoids,NA,NA,NA,NA
1213,"InChI=1S/C12H18O3/c1-2-3-4-5-10-9(8-12(14)15)6-7-11(10)13/h3-4,9-10H,2,5-8H2,1H3,(H,14,15)/b4-3-/t9-,10+/m1/s1",ZNJFBWYDHIGLCU-QKMQQOOLSA-N,ZNJFBWYDHIGLCU-QKMQQOOLSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Jasmonic acids,NA,NA,NA,NA
1217,"InChI=1S/C9H10O4/c1-5-4-6(10)8(12-2)9(13-3)7(5)11/h4H,1-3H3",UIXPTCZPFCVOQF-UHFFFAOYSA-N,UIXPTCZPFCVOQF-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids,Prenylquinones,Ubiquinones,NA,NA,NA
1224,"InChI=1S/C12H22O4/c13-11(14)9-7-5-3-1-2-4-6-8-10-12(15)16/h1-10H2,(H,13,14)(H,15,16)",TVIDDXQYHWJXFK-UHFFFAOYSA-N,TVIDDXQYHWJXFK-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,NA,NA,NA,NA
1233,"InChI=1S/C9H6O3/c10-7-3-1-6-2-4-9(11)12-8(6)5-7/h1-5,10H",ORHBXUUXSCNDEV-UHFFFAOYSA-N,ORHBXUUXSCNDEV-UHFFFAOYSA-N,Completed,Organic compounds,Phenylpropanoids and polyketides,Coumarins and derivatives,Hydroxycoumarins,7-hydroxycoumarins,NA,NA,NA,NA
1236,"InChI=1S/C9H10O3/c1-2-12-9(11)7-4-3-5-8(10)6-7/h3-6,10H,2H2,1H3",MWSMNBYIEBRXAL-UHFFFAOYSA-N,MWSMNBYIEBRXAL-UHFFFAOYSA-N,Completed,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acid esters,m-Hydroxybenzoic acid esters,NA,NA,NA
1244,"InChI=1S/C7H11N3O/c1-6(11)9-3-2-7-4-8-5-10-7/h4-5H,2-3H2,1H3,(H,8,10)(H,9,11)",XJWPISBUKWZALE-UHFFFAOYSA-N,XJWPISBUKWZALE-UHFFFAOYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Carboxylic acid amides,Acetamides,N-acetyl-2-arylethylamines,NA,NA
1256,"InChI=1S/C6H10N2O5/c7-3(1-4(9)10)6(13)8-2-5(11)12/h3H,1-2,7H2,(H,8,13)(H,9,10)(H,11,12)/t3-/m0/s1",JHFNSBBHKSZXKB-VKHMYHEASA-N,JHFNSBBHKSZXKB-VKHMYHEASA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,NA,NA,NA
1261,"InChI=1S/C9H9NO3/c11-8(12)6-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)",QIAFMBKCNZACKA-UHFFFAOYSA-N,QIAFMBKCNZACKA-UHFFFAOYSA-N,Completed,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzamides,Hippuric acids and derivatives,Hippuric acids,NA,NA
1262,"InChI=1S/C9H9NO3/c11-8(12)6-10-9(13)7-4-2-1-3-5-7/h1-5H,6H2,(H,10,13)(H,11,12)",QIAFMBKCNZACKA-UHFFFAOYSA-N,QIAFMBKCNZACKA-UHFFFAOYSA-N,Completed,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzamides,Hippuric acids and derivatives,Hippuric acids,NA,NA
1265,"InChI=1S/C16H26O3/c1-2-3-4-5-6-9-12-15(17)13-10-7-8-11-14-16(18)19/h6-10,13,15,17H,2-5,11-12,14H2,1H3,(H,18,19)/b8-7-,9-6-,13-10+/t15-/m0/s1",KBOVKDIBOBQLRS-ONCCEEIJSA-N,KBOVKDIBOBQLRS-ONCCEEIJSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA,NA,NA
1268,"InChI=1S/C12H18O3/c1-2-3-4-5-10-9(8-12(14)15)6-7-11(10)13/h3-4,9-10H,2,5-8H2,1H3,(H,14,15)/b4-3-/t9-,10-/m1/s1",ZNJFBWYDHIGLCU-HWKXXFMVSA-N,ZNJFBWYDHIGLCU-HWKXXFMVSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Jasmonic acids,NA,NA,NA,NA
1270,"InChI=1S/C10H14O/c1-7-3-4-9-8(2)6-11-10(9)5-7/h6-7H,3-5H2,1-2H3",YGWKXXYGDYYFJU-UHFFFAOYSA-N,YGWKXXYGDYYFJU-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Aromatic monoterpenoids,NA,NA,NA,NA
1276,"InChI=1S/C9H10O4/c1-5-4-6(10)8(12-2)9(13-3)7(5)11/h4H,1-3H3",UIXPTCZPFCVOQF-UHFFFAOYSA-N,UIXPTCZPFCVOQF-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Quinone and hydroquinone lipids,Prenylquinones,Ubiquinones,NA,NA,NA
1280,"InChI=1S/C9H16O2/c1-2-3-4-5-8-6-7-9(10)11-8/h8H,2-7H2,1H3",OALYTRUKMRCXNH-UHFFFAOYSA-N,OALYTRUKMRCXNH-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,Gamma butyrolactones,NA,NA,NA,NA
1282,"InChI=1S/C15H26O2/c1-11-5-7-12(8-6-11)15(4)10-9-13(16)14(2,3)17-15/h5,12-13,16H,6-10H2,1-4H3/t12-,13+,15+/m1/s1",WJHRAVIQWFQMKF-IPYPFGDCSA-N,WJHRAVIQWFQMKF-IPYPFGDCSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Oxanes,NA,Oxanes,NA,NA,NA,NA
1285,"InChI=1S/C20H33NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H2,21,22)/b7-6-,10-9-,13-12-,16-15-",BNBSCAZCQDLUDU-DOFZRALJSA-N,BNBSCAZCQDLUDU-DOFZRALJSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,NA,NA,NA,NA
1286,"InChI=1S/C20H33NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10,12-13,15-16H,2-5,8,11,14,17-19H2,1H3,(H2,21,22)/b7-6-,10-9-,13-12-,16-15-",BNBSCAZCQDLUDU-DOFZRALJSA-N,BNBSCAZCQDLUDU-DOFZRALJSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,Fatty amides,NA,NA,NA,NA
1288,"InChI=1S/C10H16O3/c1-6(11)8-4-7(5-9(12)13)10(8,2)3/h7-8H,4-5H2,1-3H3,(H,12,13)",SIZDUQQDBXJXLQ-UHFFFAOYSA-N,SIZDUQQDBXJXLQ-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Ketones,NA,NA,NA,NA
1291,"InChI=1S/C20H28O3/c1-14(7-6-8-15(2)13-19(22)23)9-10-17-16(3)18(21)11-12-20(17,4)5/h6-10,13,18,21H,11-12H2,1-5H3,(H,22,23)/b8-6+,10-9+,14-7+,15-13+",KGUMXGDKXYTTEY-FRCNGJHJSA-N,KGUMXGDKXYTTEY-FRCNGJHJSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Retinoids,Retinoids,NA,NA,NA,NA
1293,"InChI=1S/C14H26O4/c15-13(16)11-9-7-5-3-1-2-4-6-8-10-12-14(17)18/h1-12H2,(H,15,16)(H,17,18)",HQHCYKULIHKCEB-UHFFFAOYSA-N,HQHCYKULIHKCEB-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA,NA,NA
1294,"InChI=1S/C14H26O4/c15-13(16)11-9-7-5-3-1-2-4-6-8-10-12-14(17)18/h1-12H2,(H,15,16)(H,17,18)",HQHCYKULIHKCEB-UHFFFAOYSA-N,HQHCYKULIHKCEB-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA,NA,NA
1301,"InChI=1S/C12H22O/c1-2-3-4-5-6-7-8-9-10-11-12-13/h2-5,13H,6-12H2,1H3/b3-2+,5-4+",CSWBSLXBXRFNST-MQQKCMAXSA-N,CSWBSLXBXRFNST-MQQKCMAXSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Fatty alcohols,NA,NA,NA,NA
1303,"InChI=1S/C12H22O4/c13-11(14)9-7-5-3-1-2-4-6-8-10-12(15)16/h1-10H2,(H,13,14)(H,15,16)",TVIDDXQYHWJXFK-UHFFFAOYSA-N,TVIDDXQYHWJXFK-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,NA,NA,NA,NA
1304,"InChI=1S/C4H11N3O/c1-7(2-3-8)4(5)6/h8H,2-3H2,1H3,(H3,5,6)",ORTUDDOFSUHQKZ-UHFFFAOYSA-N,ORTUDDOFSUHQKZ-UHFFFAOYSA-N,Completed,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Guanidines,Guanidines,NA,NA,NA,NA
1314,"InChI=1S/C12H16O2/c1-8(2)11-6-5-9(3)12(7-11)14-10(4)13/h5-8H,1-4H3",OXZSUQJHKQOGOK-UHFFFAOYSA-N,OXZSUQJHKQOGOK-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Aromatic monoterpenoids,NA,NA,NA,NA
1315,"InChI=1S/C9H15NO3/c11-5-9(6-12)8(13)7-1-3-10(9)4-2-7/h7,11-12H,1-6H2",RFBVBRVVOPAAFS-UHFFFAOYSA-N,RFBVBRVVOPAAFS-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Quinuclidines,Quinuclidones,Quinuclidones,NA,NA,NA,NA
1319,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2",UWHCKJMYHZGTIT-UHFFFAOYSA-N,UWHCKJMYHZGTIT-UHFFFAOYSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Ethers,Dialkyl ethers,Polyethylene glycols,NA,NA,NA
1320,"InChI=1S/C17H21NO2/c1-20-17(19)15-12-18(11-13-7-3-2-4-8-13)16-10-6-5-9-14(15)16/h5-6,9-10,12-13H,2-4,7-8,11H2,1H3",KNWOMWABRWXHET-UHFFFAOYSA-N,KNWOMWABRWXHET-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Indoles and derivatives,Indolecarboxylic acids and derivatives,Indolecarboxylic acids and derivatives,NA,NA,NA,NA
1325,"InChI=1S/C15H12O8/c16-6-3-7(17)11-10(4-6)23-15(14(22)13(11)21)5-1-8(18)12(20)9(19)2-5/h1-4,14-20,22H/t14-,15+/m0/s1",KJXSIXMJHKAJOD-LSDHHAIUSA-N,KJXSIXMJHKAJOD-LSDHHAIUSA-N,Completed,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,Epigallocatechins,NA,NA
1327,"InChI=1S/C19H20N2O2/c1-2-3-14-17-18(22)20(15-10-6-4-7-11-15)21(19(17)23)16-12-8-5-9-13-16/h4-13,17H,2-3,14H2,1H3",VYMDGNCVAMGZFE-UHFFFAOYSA-N,VYMDGNCVAMGZFE-UHFFFAOYSA-N,Completed,Organic compounds,Benzenoids,Benzene and substituted derivatives,NA,Benzene and substituted derivatives,NA,NA,NA,NA
1332,"InChI=1S/C12H18O3/c1-2-3-4-5-10-9(8-12(14)15)6-7-11(10)13/h3-4,9-10H,2,5-8H2,1H3,(H,14,15)/b4-3-/t9-,10-/m1/s1",ZNJFBWYDHIGLCU-HWKXXFMVSA-N,ZNJFBWYDHIGLCU-HWKXXFMVSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Jasmonic acids,NA,NA,NA,NA
1333,"InChI=1S/C15H24O/c1-10-5-6-13-15(4,16-13)8-7-12-11(10)9-14(12,2)3/h11-13H,1,5-9H2,2-4H3/t11-,12-,13-,15-/m1/s1",NVEQFIOZRFFVFW-RGCMKSIDSA-N,NVEQFIOZRFFVFW-RGCMKSIDSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,Sesquiterpenoids,NA,NA,NA,NA
1335,"InChI=1S/C12H18O2/c1-8(2)7-11-9-5-3-4-6-10(9)12(13)14-11/h6,8-9,11H,3-5,7H2,1-2H3",CTMNHOOSFSITGN-UHFFFAOYSA-N,CTMNHOOSFSITGN-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Isobenzofurans,NA,Isobenzofurans,NA,NA,NA,NA
1340,"InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m1/s1",PFTAWBLQPZVEMU-HIFRSBDPSA-N,PFTAWBLQPZVEMU-HIFRSBDPSA-N,Completed,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavans,Flavan-3-ols,Catechins,NA,NA,NA
1343,"InChI=1S/C16H26O3/c1-2-3-4-5-6-9-12-15(17)13-10-7-8-11-14-16(18)19/h6-10,13,15,17H,2-5,11-12,14H2,1H3,(H,18,19)/b8-7-,9-6-,13-10+/t15-/m0/s1",KBOVKDIBOBQLRS-ONCCEEIJSA-N,KBOVKDIBOBQLRS-ONCCEEIJSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,NA,NA,NA,NA
1346,"InChI=1S/C10H10O3/c1-13-9-5-2-8(3-6-9)4-7-10(11)12/h2-7H,1H3,(H,11,12)/b7-4+",AFDXODALSZRGIH-QPJJXVBHSA-N,AFDXODALSZRGIH-QPJJXVBHSA-N,Completed,Organic compounds,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Cinnamic acids,Cinnamic acids,NA,NA,NA,NA
1348,"InChI=1S/C6H4O5/c7-5(8)3-1-2-4(11-3)6(9)10/h1-2H,(H,7,8)(H,9,10)",CHTHALBTIRVDBM-UHFFFAOYSA-N,CHTHALBTIRVDBM-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Furans,Furoic acid and derivatives,Furoic acids,NA,NA,NA,NA
1351,"InChI=1S/C18H34O4/c1-3-5-15-21-17(19)13-11-9-7-8-10-12-14-18(20)22-16-6-4-2/h3-16H2,1-2H3",PYGXAGIECVVIOZ-UHFFFAOYSA-N,PYGXAGIECVVIOZ-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,NA,NA,NA,NA
1353,"InChI=1S/C20H20O4/c1-13(2)3-9-16-19(23)12-10-17(20(16)24)18(22)11-6-14-4-7-15(21)8-5-14/h3-8,10-12,21,23-24H,9H2,1-2H3/b11-6+",DUWPGRAKHMEPCM-IZZDOVSWSA-N,DUWPGRAKHMEPCM-IZZDOVSWSA-N,Completed,Organic compounds,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",Chalcones and dihydrochalcones,3-prenylated chalcones,NA,NA,NA,NA
1358,"InChI=1S/C25H38O3/c1-6-7-8-9-12-24(2,3)18-14-21(27)23-19-13-17(16-26)10-11-20(19)25(4,5)28-22(23)15-18/h10,14-15,19-20,26-27H,6-9,11-13,16H2,1-5H3/t19-,20-/m1/s1",SSQJFGMEZBFMNV-WOJBJXKFSA-N,SSQJFGMEZBFMNV-WOJBJXKFSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,"2,2-dimethyl-1-benzopyrans",NA,NA,NA,NA
1359,InChI=1S/C8H4O3/c9-7-5-3-1-2-4-6(5)8(10)11-7/h1-4H,LGRFSURHDFAFJT-UHFFFAOYSA-N,LGRFSURHDFAFJT-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Benzofurans,Benzofuranones,Phthalic anhydrides,NA,NA,NA,NA
1373,"InChI=1S/C11H19NO3/c1-3-15-11(14)10-8-5-4-7(12(8)2)6-9(10)13/h7-10,13H,3-6H2,1-2H3",ABDMBNAKYBUEEX-UHFFFAOYSA-N,ABDMBNAKYBUEEX-UHFFFAOYSA-N,Completed,Organic compounds,Alkaloids and derivatives,Tropane alkaloids,NA,Tropane alkaloids,NA,NA,NA,NA
1376,"InChI=1S/C6H10O8/c7-1(3(9)5(11)12)2(8)4(10)6(13)14/h1-4,7-10H,(H,11,12)(H,13,14)/t1-,2+,3+,4-",DSLZVSRJTYRBFB-DUHBMQHGSA-N,DSLZVSRJTYRBFB-DUHBMQHGSA-N,Completed,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives,Glucuronic acid derivatives,NA,NA,NA
1391,"InChI=1S/C7H13NO4/c1-11-6(9)4-3-5(8)7(10)12-2/h5H,3-4,8H2,1-2H3/t5-/m0/s1",YEJSPQZHMWGIGP-YFKPBYRVSA-N,YEJSPQZHMWGIGP-YFKPBYRVSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,Glutamic acid and derivatives,NA,NA
1402,"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3",AOMUHOFOVNGZAN-UHFFFAOYSA-N,AOMUHOFOVNGZAN-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,NA,NA,NA,NA
1408,"InChI=1S/C11H14O3/c1-6-4-7-2-3-9-11(7,13)8(5-6)10(12)14-9/h5-7,9,13H,2-4H2,1H3/t6-,7+,9+,11-/m0/s1",SOIISBQQYAGDKM-QJSROADHSA-N,SOIISBQQYAGDKM-QJSROADHSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,Gamma butyrolactones,NA,NA,NA,NA
1413,"InChI=1S/C20H26O2/c1-3-20(22)11-9-18-17-6-4-13-12-14(21)5-7-15(13)16(17)8-10-19(18,20)2/h1,12,15-18,22H,4-11H2,2H3/t15-,16+,17+,18-,19-,20-/m0/s1",VIKNJXKGJWUCNN-XGXHKTLJSA-N,VIKNJXKGJWUCNN-XGXHKTLJSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Steroids and steroid derivatives,Estrane steroids,Estrogens and derivatives,NA,NA,NA,NA
1414,"InChI=1S/C12H18O3/c1-2-3-4-5-10-9(8-12(14)15)6-7-11(10)13/h3-4,9-10H,2,5-8H2,1H3,(H,14,15)/b4-3-/t9-,10-/m1/s1",ZNJFBWYDHIGLCU-HWKXXFMVSA-N,ZNJFBWYDHIGLCU-HWKXXFMVSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Lineolic acids and derivatives,Jasmonic acids,NA,NA,NA,NA
1430,"InChI=1S/C9H16O2/c1-2-3-5-8-6-4-7-9(10)11-8/h8H,2-7H2,1H3",PXRBWNLUQYZAAX-UHFFFAOYSA-N,PXRBWNLUQYZAAX-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Lactones,Delta valerolactones,Delta valerolactones,NA,NA,NA,NA
1446,"InChI=1S/C16H24O7/c17-10(6-8-16(22)23)5-7-12-11(13(18)9-14(12)19)3-1-2-4-15(20)21/h1-2,11-14,18-19H,3-9H2,(H,20,21)(H,22,23)/b2-1-/t11-,12-,13+,14+/m1/s1",XSGSZQDCVYMZGQ-YQQXMBKZSA-N,XSGSZQDCVYMZGQ-YQQXMBKZSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,NA,NA,NA,NA
1447,"InChI=1S/C16H24O7/c17-10(6-8-16(22)23)5-7-12-11(13(18)9-14(12)19)3-1-2-4-15(20)21/h1-2,11-14,18-19H,3-9H2,(H,20,21)(H,22,23)/b2-1-/t11-,12-,13+,14+/m1/s1",XSGSZQDCVYMZGQ-YQQXMBKZSA-N,XSGSZQDCVYMZGQ-YQQXMBKZSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Eicosanoids,Prostaglandins and related compounds,NA,NA,NA,NA
1460,"InChI=1S/C11H14O3/c1-6-4-7-2-3-9-11(7,13)8(5-6)10(12)14-9/h5-7,9,13H,2-4H2,1H3/t6-,7+,9+,11-/m0/s1",SOIISBQQYAGDKM-QJSROADHSA-N,SOIISBQQYAGDKM-QJSROADHSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Lactones,Gamma butyrolactones,Gamma butyrolactones,NA,NA,NA,NA
1466,"InChI=1S/C23H40N2O3/c26-21(27)10-8-6-4-2-1-3-5-7-9-11-24-22(28)25-23-15-18-12-19(16-23)14-20(13-18)17-23/h18-20H,1-17H2,(H,26,27)(H2,24,25,28)",XLGSEOAVLVTJDH-UHFFFAOYSA-N,XLGSEOAVLVTJDH-UHFFFAOYSA-N,Completed,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,NA,NA,NA,NA
1482,"InChI=1S/C12H14N2O3/c15-7-12(17)11(16)5-8-6-13-9-3-1-2-4-10(9)14-8/h1-4,6,11-12,15-17H,5,7H2",KFKHJQAEESRVHL-UHFFFAOYSA-N,KFKHJQAEESRVHL-UHFFFAOYSA-N,Completed,Organic compounds,Organoheterocyclic compounds,Diazanaphthalenes,Benzodiazines,Quinoxalines,NA,NA,NA,NA
1483,"InChI=1S/C8H14N2O2/c1-2-6(8(9)12)10-5-3-4-7(10)11/h6H,2-5H2,1H3,(H2,9,12)/t6-/m1/s1",HPHUVLMMVZITSG-ZCFIWIBFSA-N,HPHUVLMMVZITSG-ZCFIWIBFSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Amino acids and derivatives,Alpha amino acids and derivatives,NA,NA,NA
1486,"InChI=1S/C14H17N3O3/c1-8(15)13(18)17-12(14(19)20)6-9-7-16-11-5-3-2-4-10(9)11/h2-5,7-8,12,16H,6,15H2,1H3,(H,17,18)(H,19,20)/t8-,12-/m0/s1",WUGMRIBZSVSJNP-UFBFGSQYSA-N,WUGMRIBZSVSJNP-UFBFGSQYSA-N,Completed,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Peptides,Dipeptides,NA,NA,NA
