#Scan#,Adduct_library,CAS_Number_library,Charge_library,Compound_Name_library,Compound_Source_library,Data_Collector_library,ExactMass_library,FileScanUniqueID_library,INCHI_AUX_library,INCHI_library,Instrument_library,Ion_Source_library,IonMode_library,LibMZ_library,Library_Class_library,LibraryName_library,LibraryQualityString_library,MassDiff_library,MQScore_library,MZErrorPPM_library,NumberHits_library,Organism_library,PI_library,Precursor_MZ_library,Pubmed_ID_library,RT_Query_library,SharedPeaks_library,Smiles_library,SpecCharge_library,SpecMZ_library,SpectrumFile_library,SpectrumID_library,tags_library,TIC_Query_library,UpdateWorkflowName_library,Adduct_analog,CAS_Number_analog,Charge_analog,Compound_Name_analog,Compound_Source_analog,Data_Collector_analog,ExactMass_analog,FileScanUniqueID_analog,INCHI_analog,INCHI_AUX_analog,Instrument_analog,internalFilename_analog,Ion_Source_analog,IonMode_analog,LibMZ_analog,Library_Class_analog,LibraryName_analog,LibraryQualityString_analog,MassDiff_analog,MQScore_analog,MZErrorPPM_analog,NumberHits_analog,Organism_analog,PI_analog,Precursor_MZ_analog,Pubmed_ID_analog,RT_Query_analog,SharedPeaks_analog,Smiles_analog,SpecCharge_analog,SpecMZ_analog,SpectrumFile_analog,SpectrumID_analog,tags_analog,TIC_Query_analog,UpdateWorkflowName_analog,inchi_combined
133,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,112607,1,Tetraethylene glycol,Isolated,NIST,0,spectra/specs_ms.mgf133,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2",N/A,HCD,specs_ms.mgf,ESI,Positive,195.123,3,lib-00052.mgf,Bronze,21.9825,0.856984,112660,1,NIST17,NIST,195.123,N/A,0,5,C(COCCOCCOCCO)O,1,217.105,specs_ms.mgf,CCMSLIB00003440996,NA,302879,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2"
136,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,N/A,1,sphingosin C16 (Artifact)-emf,Crude,N/A,0,spectra/specs_ms.mgf136,N/A,N/A,Orbitrap,specs_ms.mgf,LC-ESI,Positive,274.274,3,lib-00013.mgf,Bronze,56.0622,0.829954,204402,1,GNPS-LIBRARY,emf,274.274,NA,0,6,N/A,1,218.212,specs_ms.mgf,CCMSLIB00005463721,NA,1062380,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
141,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,41570610,1,Tulobuterol,Isolated,NIST,0,spectra/specs_ms.mgf141,"InChI=1S/C12H18ClNO/c1-12(2,3)14-8-11(15)9-6-4-5-7-10(9)13/h4-7,11,14-15H,8H2,1-3H3",N/A,HCD,specs_ms.mgf,ESI,Positive,228.115,3,lib-00052.mgf,Bronze,6.99751,0.940707,30675.4,1,NIST17,NIST,228.115,N/A,0,4,CC(C)(C)NCC(C1=CC=CC=C1Cl)O,1,221.117,specs_ms.mgf,CCMSLIB00003444464,NA,4225210,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C12H18ClNO/c1-12(2,3)14-8-11(15)9-6-4-5-7-10(9)13/h4-7,11,14-15H,8H2,1-3H3"
142,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,84662,1,Spectral Match to Diethyl phthalate from NIST14,Isolated,Data deposited by daniel,0,spectra/specs_ms.mgf142,N/A,N/A,QqQ,specs_ms.mgf,ESI,Positive,223.097,3,lib-00036.mgf,Bronze,0.136002,0.916997,609.607,1,GNPS-NIST14-MATCHES,Data from Pieter Dorrestein,223.097,N/A,0,6,N/A,1,222.961,specs_ms.mgf,CCMSLIB00003135851,NA,17641100,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
143,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,15119343,1,3-Cyanocoumarin,Isolated,NIST,0,spectra/specs_ms.mgf143,N/A,N/A,HCD,specs_ms.mgf,ESI,Positive,172.039,3,lib-00036.mgf,Bronze,50.9218,0.809825,295990,1,NIST14,NIST,172.039,N/A,0,4,N/A,1,222.961,specs_ms.mgf,CCMSLIB00000329775,NA,8205710,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
146,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H-H2O,5986550,1,Patchouli alcohol,Isolated,NIST,0,spectra/specs_ms.mgf146,"InChI=1S/C15H26O/c1-10-5-8-15(16)13(2,3)11-6-7-14(15,4)12(10)9-11/h10-12,16H,5-9H2,1-4H3/t10-,11+,12-,14-,15+/m0/s1",N/A,HCD,specs_ms.mgf,ESI,Positive,205.195,3,lib-00052.mgf,Bronze,18.011,0.894061,87775,1,NIST17,NIST,205.195,N/A,0,7,CC1CCC2(C(C3CCC2(C1C3)C)(C)C)O,1,223.206,specs_ms.mgf,CCMSLIB00003400578,NA,6305080,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C15H26O/c1-10-5-8-15(16)13(2,3)11-6-7-14(15,4)12(10)9-11/h10-12,16H,5-9H2,1-4H3/t10-,11+,12-,14-,15+/m0/s1"
148,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,1354631789,1,"5-(2-Methylaminopropyl)-2,3-dihydrobenzofuran",Isolated,NIST,0,spectra/specs_ms.mgf148,"InChI=1S/C12H17NO/c1-9(13-2)7-10-3-4-12-11(8-10)5-6-14-12/h3-4,8-9,13H,5-7H2,1-2H3",N/A,HCD,specs_ms.mgf,ESI,Positive,192.138,3,lib-00052.mgf,Bronze,32.0265,0.834819,166685,1,NIST17,NIST,192.138,N/A,0,4,CC(CC1=CC2=C(C=C1)OCC2)NC,1,224.165,specs_ms.mgf,CCMSLIB00003433931,NA,1751940,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C12H17NO/c1-9(13-2)7-10-3-4-12-11(8-10)5-6-14-12/h3-4,8-9,13H,5-7H2,1-2H3"
149,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[M+H]+,85-44-9,1,Massbank:FIO00303 Phthalic anhydride,Isolated,Massbank,0,spectra/specs_ms.mgf149,1S/C8H4O3/c9-7-5-3-1-2-4-6(5)8(10)11-7/h1-4H,N/A,LC-ESI-QTOF,specs_ms.mgf,ESI,Positive,149.024,3,lib-00004.mgf,Bronze,75.9334,0.898244,509538,1,MASSBANK,Putative Massbank Match,149.024,N/A,0,4,O=c(o1)c(c2)c(ccc2)c(=O)1,1,224.957,specs_ms.mgf,CCMSLIB00000214010,NA,1533160,UPDATE-SINGLE-ANNOTATED-BRONZE,1S/C8H4O3/c9-7-5-3-1-2-4-6(5)8(10)11-7/h1-4H
155,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H-H2O,505522,1,"1,11-Undecanedicarboxylic acid",Isolated,NIST,0,spectra/specs_ms.mgf155,N/A,N/A,HCD,specs_ms.mgf,ESI,Positive,227.164,3,lib-00048.mgf,Bronze,0.983795,0.915792,4330.77,1,NIST14,NIST,227.164,N/A,0,10,N/A,1,226.18,specs_ms.mgf,CCMSLIB00000303073,NA,4764390,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
159,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,624179,1,Spectral Match to Diethyl azelate from NIST14,Isolated,Data deposited by negarg,0,spectra/specs_ms.mgf159,N/A,N/A,HCD,specs_ms.mgf,ESI,Positive,245.175,3,lib-00036.mgf,Bronze,18.047,0.819541,73608.6,1,GNPS-NIST14-MATCHES,Data from Pieter C Dorrestein,245.175,N/A,0,7,N/A,1,227.128,specs_ms.mgf,CCMSLIB00003136343,NA,873408,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
161,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,0,1,Leu-Lys,Isolated,NIST,0,spectra/specs_ms.mgf161,"InChI=1S/C12H25N3O3/c1-8(2)7-9(14)11(16)15-10(12(17)18)5-3-4-6-13/h8-10H,3-7,13-14H2,1-2H3,(H,15,16)(H,17,18)/t9-,10-/m0/s1",N/A,HCD,specs_ms.mgf,ESI,Positive,260.197,3,lib-00052.mgf,Bronze,33.0212,0.845432,126908,1,NIST17,NIST,260.197,N/A,0,4,CC(C)CC(C(=O)NC(CCCCN)C(=O)O)N,1,227.176,specs_ms.mgf,CCMSLIB00003730524,NA,1764020,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C12H25N3O3/c1-8(2)7-9(14)11(16)15-10(12(17)18)5-3-4-6-13/h8-10H,3-7,13-14H2,1-2H3,(H,15,16)(H,17,18)/t9-,10-/m0/s1"
167,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[M+NH4]+,N/A,1,MUCIC ACID,isolated,MoNA:VF-NPL-QEHF011368,0,spectra/specs_ms.mgf167,"InChI=1S/C6H10O8/c7-1(3(9)5(11)12)2(8)4(10)6(13)14/h1-4,7-10H,(H,11,12)(H,13,14)/t1-,2+,3+,4-",N/A,ESI-QFT,specs_ms.mgf,N/A,positive,228.071,3,lib-00029.mgf,Bronze,0.124908,0.888745,547.674,1,MONA,MoNA,228.071,N/A,0,9,N/A,1,228.196,specs_ms.mgf,CCMSLIB00004702431,NA,8546200,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C6H10O8/c7-1(3(9)5(11)12)2(8)4(10)6(13)14/h1-4,7-10H,(H,11,12)(H,13,14)/t1-,2+,3+,4-"
169,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,629549,1,Spectral Match to Palmitamide from NIST14,Isolated,Data deposited by negarg,0,spectra/specs_ms.mgf169,N/A,N/A,IT-FT/ion trap with FTMS,specs_ms.mgf,ESI,Positive,256.263,3,lib-00032.mgf,Bronze,28.0307,0.993088,109383,1,GNPS-NIST14-MATCHES,Data from Pieter C Dorrestein,256.263,N/A,0,10,N/A,1,228.232,specs_ms.mgf,CCMSLIB00003138668,NA,829948,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
172,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,693232,1,Dodecanedioic acid,Isolated,NIST,0,spectra/specs_ms.mgf172,N/A,N/A,Q-TOF,specs_ms.mgf,ESI,Positive,231.159,3,lib-00036.mgf,Bronze,0.983704,0.924716,4255.53,1,NIST14,NIST,231.159,N/A,0,9,N/A,1,230.175,specs_ms.mgf,CCMSLIB00000352555,NA,349583,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
182,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H-H2O,53941381,1,Spectral Match to 3-Hydroxydodecanoic acid from NIST14,Isolated,Data deposited by amelnik,0,spectra/specs_ms.mgf182,N/A,N/A,Q-TOF,specs_ms.mgf,ESI,Positive,199.169,3,lib-00036.mgf,Bronze,34.9933,0.83609,175696,1,GNPS-NIST14-MATCHES,Data from Rob Knight,199.169,N/A,0,6,N/A,1,234.162,specs_ms.mgf,CCMSLIB00003137333,NA,856981,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
183,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,1421494,1,"Spectral Match to Benzoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy- from NIST14",Isolated,Data deposited by amelnik,0,spectra/specs_ms.mgf183,N/A,N/A,IT/ion trap,specs_ms.mgf,ESI,Positive,251.164,3,lib-00036.mgf,Bronze,15.9946,0.944189,63681.9,1,GNPS-NIST14-MATCHES,Data from Rob Knight,251.164,N/A,0,8,N/A,1,235.169,specs_ms.mgf,CCMSLIB00003136802,NA,752644,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
190,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,NA,1,Loliolide,Crude,Daniel Petras,0,spectra/specs_ms.mgf190,N/A,NA,Orbitrap,specs_ms.mgf,LC-ESI,Positive,197.117,3,lib-00013.mgf,Bronze,42.0109,0.970099,213127,1,GNPS-LIBRARY,Lihini Aluwihare,197.117,NA,0,7,CC1(CC(CC2(C1=CC(=O)O2)C)O)C,1,239.128,specs_ms.mgf,CCMSLIB00004680136,NA,14156200,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
195,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H-C10H18O3,17455231,1,Dicyclohexano-24-crown-8,Isolated,NIST,0,spectra/specs_ms.mgf195,"InChI=1S/C24H44O8/c1-2-6-22-21(5-1)29-17-13-25-9-10-27-15-19-31-23-7-3-4-8-24(23)32-20-16-28-12-11-26-14-18-30-22/h21-24H,1-20H2",N/A,HCD,specs_ms.mgf,ESI,Positive,275.185,3,lib-00052.mgf,Bronze,35.0046,0.862304,127204,1,NIST17,NIST,275.185,N/A,0,4,C1CCC2C(C1)OCCOCCOCCOC3CCCCC3OCCOCCOCCO2,1,240.181,specs_ms.mgf,CCMSLIB00003723400,NA,207214,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C24H44O8/c1-2-6-22-21(5-1)29-17-13-25-9-10-27-15-19-31-23-7-3-4-8-24(23)32-20-16-28-12-11-26-14-18-30-22/h21-24H,1-20H2"
197,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H-C12H15ON,1320363481,1,"Methanone, [1-(3-hydroxybutyl)-1H-indol-3-yl]-1-naphthalenyl-",Isolated,NIST,0,spectra/specs_ms.mgf197,"InChI=1S/C23H21NO2/c1-16(25)13-14-24-15-21(19-10-4-5-12-22(19)24)23(26)20-11-6-8-17-7-2-3-9-18(17)20/h2-12,15-16,25H,13-14H2,1H3",N/A,IT-FT/ion trap with FTMS,specs_ms.mgf,ESI,Positive,155.049,3,lib-00052.mgf,Bronze,85.8727,0.85122,553842,1,NIST17,NIST,155.049,N/A,0,4,CC(CCN1C=C(C2=CC=CC=C21)C(=O)C3=CC=CC4=CC=CC=C43)O,1,240.922,specs_ms.mgf,CCMSLIB00003492516,NA,15201700,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C23H21NO2/c1-16(25)13-14-24-15-21(19-10-4-5-12-22(19)24)23(26)20-11-6-8-17-7-2-3-9-18(17)20/h2-12,15-16,25H,13-14H2,1H3"
205,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,2016424,1,Tetradecylamine,Isolated,NIST,0,spectra/specs_ms.mgf205,N/A,N/A,HCD,specs_ms.mgf,ESI,Positive,214.253,3,lib-00036.mgf,Bronze,28.0313,0.941151,130833,1,NIST14,NIST,214.253,N/A,0,4,N/A,1,242.284,specs_ms.mgf,CCMSLIB00000302556,NA,245618,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
206,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,84662,1,Spectral Match to Diethyl phthalate from NIST14,Isolated,Data deposited by negarg,0,spectra/specs_ms.mgf206,N/A,N/A,QqQ,specs_ms.mgf,ESI,Positive,223.096,3,lib-00036.mgf,Bronze,20.9856,0.837983,94065.4,1,GNPS-NIST14-MATCHES,Data from Pieter C. Dorrestein,223.096,N/A,0,5,N/A,1,244.082,specs_ms.mgf,CCMSLIB00003135032,NA,1968410,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
207,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,505-52-2,0,"1,11-Undecanedicarboxylic acid",Isolated,N/A,0,spectra/specs_ms.mgf207,"InChI=1S/C13H24O4/c14-12(15)10-8-6-4-2-1-3-5-7-9-11-13(16)17/h1-11H2,(H,14,15)(H,16,17)",N/A,LC-ESI-QTOF,specs_ms.mgf,LC-ESI,Positive-10eV,245.175,3,lib-00037.mgf,Bronze,0.98407,0.941988,4013.75,1,METLIN,Metlin,245.175,N/A,0,11,N/A,1,244.191,specs_ms.mgf,CCMSLIB00000530373,NA,9460130,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C13H24O4/c14-12(15)10-8-6-4-2-1-3-5-7-9-11-13(16)17/h1-11H2,(H,14,15)(H,16,17)"
211,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[M+H]+,2605-79-0,1,"Massbank:EA278414 DDAO| N,N-dimethyl-1-decanamine oxide|NN-Dimethyldicylamine N-oxide",Isolated,Massbank,0,spectra/specs_ms.mgf211,"1S/C12H27NO/c1-4-5-6-7-8-9-10-11-12-13(2,3)14/h4-12H2,1-3H3",N/A,LC-ESI-ITFT,specs_ms.mgf,ESI,Positive,202.217,3,lib-00004.mgf,Bronze,42.0101,0.896728,207748,1,MASSBANK,Putative Massbank Match,202.217,N/A,0,4,N(C)(CCCCCCCCCC)(C)=O,1,244.227,specs_ms.mgf,CCMSLIB00000211100,NA,1075080,UPDATE-SINGLE-ANNOTATED-BRONZE,"1S/C12H27NO/c1-4-5-6-7-8-9-10-11-12-13(2,3)14/h4-12H2,1-3H3"
212,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[M+H]+,2605-79-0,1,"Massbank:EA278411 DDAO| N,N-dimethyl-1-decanamine oxide|NN-Dimethyldicylamine N-oxide",Isolated,Massbank,0,spectra/specs_ms.mgf212,"1S/C12H27NO/c1-4-5-6-7-8-9-10-11-12-13(2,3)14/h4-12H2,1-3H3",N/A,LC-ESI-ITFT,specs_ms.mgf,ESI,Positive,202.217,3,lib-00004.mgf,Bronze,42.0101,0.94422,207748,1,MASSBANK,Putative Massbank Match,202.217,N/A,0,4,N(C)(CCCCCCCCCC)(C)=O,1,244.227,specs_ms.mgf,CCMSLIB00000211094,NA,1163630,UPDATE-SINGLE-ANNOTATED-BRONZE,"1S/C12H27NO/c1-4-5-6-7-8-9-10-11-12-13(2,3)14/h4-12H2,1-3H3"
213,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,53832590,1,Heptadecanoyl ethanolamide,Isolated,NIST,0,spectra/specs_ms.mgf213,N/A,N/A,HCD,specs_ms.mgf,ESI,Positive,314.305,3,lib-00036.mgf,Bronze,70.0779,0.970584,222961,1,NIST14,NIST,314.305,N/A,0,10,N/A,1,244.227,specs_ms.mgf,CCMSLIB00000324353,NA,1101860,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
215,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,124301,1,Spectral Match to 1-Octadecanamine from NIST14,Isolated,Data deposited by negarg,0,spectra/specs_ms.mgf215,N/A,N/A,IT/ion trap,specs_ms.mgf,ESI,Positive,270.315,3,lib-00036.mgf,Bronze,26.0515,0.862316,96374.6,1,GNPS-NIST14-MATCHES,Data from Pieter C Dorrestein,270.315,N/A,0,5,N/A,1,244.264,specs_ms.mgf,CCMSLIB00003134662,NA,578894,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
224,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,6682264,1,Cyclobenzaprine N-oxide,Isolated,NIST,0,spectra/specs_ms.mgf224,"InChI=1S/C20H21NO/c1-21(2,22)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-14H,7,15H2,1-2H3",N/A,HCD,specs_ms.mgf,ESI,Positive,292.17,3,lib-00052.mgf,Bronze,43.0108,0.81469,147212,1,NIST17,NIST,292.17,N/A,0,4,C[N+](C)(CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31)[O-],1,249.159,specs_ms.mgf,CCMSLIB00003615291,NA,2018020,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C20H21NO/c1-21(2,22)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-14H,7,15H2,1-2H3"
225,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,1421494,1,"3,5-Di-tert-butyl-4-hydroxybenzoic acid",Isolated,NIST,0,spectra/specs_ms.mgf225,"InChI=1S/C15H22O3/c1-14(2,3)10-7-9(13(17)18)8-11(12(10)16)15(4,5)6/h7-8,16H,1-6H3,(H,17,18)",N/A,IT-FT/ion trap with FTMS,specs_ms.mgf,ESI,Positive,251.164,3,lib-00052.mgf,Bronze,1.97929,0.985373,7880.48,1,NIST17,NIST,251.164,N/A,0,4,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C(=O)O,1,249.185,specs_ms.mgf,CCMSLIB00003464357,NA,3676770,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C15H22O3/c1-14(2,3)10-7-9(13(17)18)8-11(12(10)16)15(4,5)6/h7-8,16H,1-6H3,(H,17,18)"
226,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M-H-H2O,478080,1,Lucidin,Isolated,NIST,0,spectra/specs_ms.mgf226,"InChI=1S/C15H10O5/c16-6-10-11(17)5-9-12(15(10)20)14(19)8-4-2-1-3-7(8)13(9)18/h1-5,16-17,20H,6H2",N/A,IT-FT/ion trap with FTMS,specs_ms.mgf,ESI,Negative,251.035,3,lib-00052.mgf,Bronze,0.0792999,0.961859,315.892,1,NIST17,NIST,251.035,N/A,0,5,C1=CC=C2C(=C1)C(=O)C3=CC(=C(C(=C3C2=O)O)CO)O,1,250.956,specs_ms.mgf,CCMSLIB00003555157,NA,8301410,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C15H10O5/c16-6-10-11(17)5-9-12(15(10)20)14(19)8-4-2-1-3-7(8)13(9)18/h1-5,16-17,20H,6H2"
231,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H,24800440,1,Tripropylene glycol,Isolated,NIST,0,spectra/specs_ms.mgf231,N/A,N/A,Q-TOF,specs_ms.mgf,ESI,Positive,193.143,3,lib-00036.mgf,Bronze,58.042,0.929489,300513,1,NIST14,NIST,193.143,N/A,0,6,N/A,1,251.185,specs_ms.mgf,CCMSLIB00000402817,NA,2866360,UPDATE-SINGLE-ANNOTATED-BRONZE,N/A
235,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M+H-C4H12O2,18344428,1,rac-all-trans-4-Hydroxyretinal,Isolated,NIST,0,spectra/specs_ms.mgf235,"InChI=1S/C20H28O2/c1-15(7-6-8-16(2)12-14-21)9-10-18-17(3)19(22)11-13-20(18,4)5/h6-10,12,14,19,22H,11,13H2,1-5H3/b8-6+,10-9+,15-7+,16-12+",N/A,HCD,specs_ms.mgf,ESI,Positive,209.133,3,lib-00052.mgf,Bronze,45.0545,0.8952,215435,1,NIST17,NIST,209.133,N/A,0,6,CC1=C(C(CCC1O)(C)C)C=CC(=CC=CC(=CC=O)C)C,1,254.187,specs_ms.mgf,CCMSLIB00003609041,NA,201686,UPDATE-SINGLE-ANNOTATED-BRONZE,"InChI=1S/C20H28O2/c1-15(7-6-8-16(2)12-14-21)9-10-18-17(3)19(22)11-13-20(18,4)5/h6-10,12,14,19,22H,11,13H2,1-5H3/b8-6+,10-9+,15-7+,16-12+"
