feature_number,mz,RT,C,H,O,N,S,P,Cl,Br,B,Se,I,H/C,O/C,N/C,AI-mod,DBE,DBE/C,Formula,ZodiacScore,Exp2_MediaBlank_A_DOM_I,Exp2_MediaBlank_A_DOM_II,Exp2_MediaBlank_A_Unfil_I,Exp2_MediaBlank_A_Unfil_II,Exp2_Pn-delicatissima_A_DOM_I,Exp2_Pn-delicatissima_A_DOM_II,Exp2_Pn-delicatissima_A_Unfil_I,Exp2_Pn-delicatissima_A_Unfil_II,Exp2_Pn-delicatissima_B_DOM_I,Exp2_Pn-delicatissima_B_DOM_II,Exp2_Pn-delicatissima_B_Unfil_I,Exp2_Pn-delicatissima_B_Unfil_II,Exp2_Pn-galaxiae_A_DOM_I,Exp2_Pn-galaxiae_A_DOM_II,Exp2_Pn-galaxiae_A_Unfil_I,Exp2_Pn-galaxiae_A_Unfil_II,Exp2_Pn-galaxiae_B_DOM_I,Exp2_Pn-galaxiae_B_DOM_II,Exp2_Pn-galaxiae_B_Unfil_I,Exp2_Pn-galaxiae_B_Unfil_II,Exp2_Pn-hasleana_A_DOM_I,Exp2_Pn-hasleana_A_DOM_II,Exp2_Pn-hasleana_A_Unfil_I,Exp2_Pn-hasleana_A_Unfil_II,Exp2_Pn-hasleana_B_DOM_I,Exp2_Pn-hasleana_B_DOM_II,Exp2_Pn-hasleana_B_Unfil_I,Exp2_Pn-hasleana_B_Unfil_II,Exp2_Pn-multiseries_A_DOM_I,Exp2_Pn-multiseries_A_DOM_II,Exp2_Pn-multiseries_A_Unfil_I,Exp2_Pn-multiseries_A_Unfil_II,Exp2_Pn-multiseries_B_DOM_I,Exp2_Pn-multiseries_B_DOM_II,Exp2_Pn-multiseries_B_Unfil_I,Exp2_Pn-multiseries_B_Unfil_II,Exp2_Pn-subpacifica_A_DOM_I,Exp2_Pn-subpacifica_A_DOM_II,Exp2_Pn-subpacifica_A_Unfil_I,Exp2_Pn-subpacifica_A_Unfil_II,Exp2_Pn-subpacifica_B_DOM_I,Exp2_Pn-subpacifica_B_DOM_II,Exp2_Pn-subpacifica_B_Unfil_I,Exp2_Pn-subpacifica_B_Unfil_II
3830,271.1690478,7.943535733,18,22,2,0,0,0,0,0,0,0,0,1.222222222,0.111111111,0,0.411764706,8,0.444444444,C18H22O2,1,92066.46194,117702.05300000001,116305.2334,137871.8585,3367247.5960000004,4348525.7530000005,11300000,16800000,4067719.433,6150877.652000001,13900000,6995261.344,943962.9301,312244.924,1066931.336,1427701.029,1411930.9,993540.7956,1736338.983,2292888.253,1523452.736,1151059.8020000001,8247739.409,6973543.778,809955.8712,409457.2361,7620960.757999999,8542111.593,287991.4782,219517.5585,199028.9256,271813.0167,91607.39619,145651.0109,227408.1744,15530.43799,348077.80700000003,124303.1688,140424.5792,139431.5293,178618.0664,164272.5648,316200.9496,149442.12300000002
3831,271.1690615,8.822997553,18,22,2,0,0,0,0,0,0,0,0,1.222222222,0.111111111,0,0.411764706,8,0.444444444,C18H22O2,1,130993.30300000001,209267.9229,114001.6299,105937.7547,417061.8791,628510.2381,16300000,17400000,367373.9594,467929.6482,10900000,18100000,1830674.006,1744384.345,3587974.231,3731070.584,1221763.38,1096225.638,5668845.788,4413151.601,728879.1084,549187.1341,3676452.2939999998,6172047.277000001,2347420.483,2050283.7780000002,7724035.345,11000000,204646.8837,360482.6713,67156.25615,302727.6677,104663.7724,139935.0621,603947.1907,16320.01438,89442.9469,103457.4365,362702.6108,184550.3926,102191.5558,199148.0672,325116.3006,282177.7193
3832,271.1690348,10.72498398,18,22,2,0,0,0,0,0,0,0,0,1.222222222,0.111111111,0,0.411764706,8,0.444444444,C18H22O2,1,122358.4434,263045.0236,69233.52928999999,85172.10973,2038478.622,1639522.8269999998,44600000,44200000,2166952.525,1893357.4880000001,23200000,17200000,1217876.533,1685125.5680000002,43900000,21300000,5035091.155,3598620.105,17700000,48400000,2805801.4280000003,2526505.3140000002,58300000,21200000,2560393.6659999997,3313015.2180000003,85400000,85500000,471398.554,474746.1393,2301146.1969999997,1856870.178,427458.5361,460223.4966,1511913.2719999999,231501.8315,90598.96407999999,265702.9271,587616.3426,794280.2012,300516.968,262840.3475,634654.6912,443506.9945
3833,272.1972231,2.163779273,13,25,3,3,0,0,0,0,0,0,0,1.923076923,0.230769231,0.230769231,0,3,0.230769231,C13H25N3O3,1,0,0,0,0,3193.553021,0,0,0,6101.775296,4367.252725,0,9108.249278,0,0,0,5632.409129,0,0,0,12324.48441,4780.108951,0,0,0,0,0,0,0,7526.833363,11433.80995,4364.063146,5042.749065,0,0,4207.332679,345.0886117,0,7399.83698,0,0,5048.450248,0,4688.897429,5587.894325
3837,273.0938871,4.006367742,10,14,6,3,0,0,0,0,0,0,0,1.4,0.6,0.3,0.25,5.5,0.55,C10H14N3O6,1,287467.9667,90969.25857,146048.6963,123895.68699999999,4279468.794,2911295.354,4344736.666,6247750.22,3621890,737993.1057,4089417.7819999997,11000000,2858670.903,966494.7685,4605341.142,2456431.828,784697.053,1073311.855,7096694.164,6839512.028,1195630.192,597916.3326,2925202.672,1923070.36,2586424.739,2027573.4109999998,4856470.208000001,3065428.582,1120235.479,2446873.88,2575770.168,347928.3147,2710633.025,1175756.688,3078481.492,75070.95405,677337.2584,62995.936579999994,61724.12082999999,520129.7878,652983.4873,687659.0816,65448.39115,771357.1631
3838,273.184675,9.434568704,18,24,2,0,0,0,0,0,0,0,0,1.333333333,0.111111111,0,0.352941176,7,0.388888889,C18H24O2,1,398588.9639,321649.1943,276907.2623,158799.9953,22100000,22100000,156000000,171000000,18100000,16800000,172000000,180000000,2118759.26,1102229.826,74200000,74500000,21300000,27800000,102000000,111000000,10500000,7662768.961,131000000,119000000,11500000,11700000,142000000,173000000,636879.456,577072.9533,4952676.735,6826533.401000001,752212.949,414459.3697,6162788.337,390521.0569,466887.645,494228.6773,1111873.166,2477018.562,555549.8196,535817.5954,1159293.095,2345954.992
3839,275.1420767,3.494647012,9,18,4,6,0,0,0,0,0,0,0,2,0.444444444,0.666666667,0,4,0.444444444,C9H18N6O4,0.994294294,193679.1143,585651.1992,467862.63200000004,509818.2933,13200000,11100000,14000000,9597470.283,21900000,33000000,4249275.933999999,7030733.292,832139.6703,914812.5392,596638.0377,1155402.638,1294000.867,565622.0756,3531169.805,4800525.563,2465075.728,707750.6318,852325.1888,534778.2692,2342468.175,2094917.679,730801.4768,764215.7815,762797.6496,343485.525,406731.1625,574143.8606,205956.8127,151320.8877,808852.7608,40905.77723,3788017.942,9750234.575,8719761.258,4188963.3030000003,10900000,11400000,16200000,9254616.818
3841,275.1391354,5.253377945,15,18,3,2,0,0,0,0,0,0,0,1.2,0.2,0.133333333,0.47826087,8,0.533333333,C15H18N2O3,1,85394.26653,112397.7234,134512.4777,153936.5822,770619.3488,1237958.055,543645.8001,543740.7127,313664.9016,1120202.2659999998,282156.8793,910350.3997,810076.3408,101353.2956,514949.9213,645910.0974,705994.1811,327614.9329,1062934.899,564052.4461,630197.468,222405.9113,774311.0508,351507.9633,696748.5152,1386024.0869999998,426096.8966,511141.3175,173683.2679,246305.4156,85467.56417,875615.4461,254549.813,95712.81683,237146.0328,41981.01743,898221.2317,191980.0509,855615.6678,168652.39800000002,818528.0107,1068939.413,1004150.083,814558.9974
3842,275.1393934,7.242283894,15,18,3,2,0,0,0,0,0,0,0,1.2,0.2,0.133333333,0.47826087,8,0.533333333,C15H18N2O3,1,63646.35584,72178.72245,89021.51107000001,85200.89402,4041919.9269999997,3923339.3189999997,3852656.1360000004,2321203.363,6128135.643999999,5606742.166,2784467.123,1304655.929,2055435.2980000002,1434345.189,811605.9756,843167.2332,4153241.7169999997,2611935.286,986095.8569,1004065.552,2902004.528,2843744.4460000005,2015254.585,1330652.397,2889254.025,1853878.624,1373891.74,848729.5236,1949241.291,1603624.4780000001,1632214.227,968268.1859,1898150.8469999998,1424218.997,2030887.076,67671.9782,312423.7727,309852.5373,669376.0919,770490.8522,604030.4184,662972.2125,309740.5336,266532.3181
3843,275.2003024,9.301065471,18,26,2,0,0,0,0,0,0,0,0,1.444444444,0.111111111,0,0.294117647,6,0.333333333,C18H26O2,1,366109.0213,449515.8523,325166.2818,485946.9331,1200149.539,1846341.6090000002,16400000,25600000,1424533.9030000002,1186093.021,13000000,13800000,506675.2155,874139.0128,3468153.12,4112053.4280000003,2211889.99,768368.3416,5590893.672,4920038.952,916804.3994,651790.6201,13300000,5547293.9520000005,1178491.244,1056892.031,17600000,5979613.211,569130.7148,257913.9408,313251.0328,311752.0341,366016.6752,866036.4388,745558.6351,71082.55325,290696.4275,285713.2084,773584.8556,699176.4066,561799.4816,529161.7784,401635.9014,308835.5139
3844,276.1801858,4.977158893,13,25,5,1,0,0,0,0,0,0,0,1.923076923,0.384615385,0.076923077,0,2,0.153846154,C13H25NO5,1,480019.7789,278042.327,287022.0706,595119.3031,925806.6440000001,841348.2344,4796911.133,5310796.274,529666.182,311021.4257,5560821.927999999,5219821.416999999,554558.3861,418027.8094,4164768.3910000003,3496165.412,568735.2947,554510.4947,2621309.154,4183242.778,644505.4131,551027.2270000001,10200000,9024535.018,982439.5376,631955.6414,5200486.295,6364298.522999999,312832.1235,251137.4825,823522.5126,885527.4035,464501.6961,352569.1715,931919.8623,88854.6927,256998.2006,112152.0241,445671.2838,521370.8646,184791.4601,226048.0937,401716.9125,502541.2896
3854,280.1660934,1.11994736,14,21,3,3,0,0,0,0,0,0,0,1.5,0.214285714,0.214285714,0.315789474,6,0.428571429,C14H21N3O3,1,12531.30204,27657.76958,67447.01718,47238.93405,24344.22125,47581.05651,55929.28297000001,7918353.78,14318.56836,72571.52975,507673.4359,892391.0468,1750837.66,376896.9818,80200000,10800000,3166070.1939999997,4645125.341,187000000,84300000,6419873.261,3296860.7010000004,16200000,134000000,164881.9345,1868282.27,812000000,663000000,32234.88132,24234.95709,44454.940460000005,466145.5036,22653.15705,42442.48998,63016.803210000005,45258.69297,9901.30251,25005.07229,108122.2656,25703.23391,47509.18513,5998.448966,381025.3418,21197.36963
3856,280.2631283,9.690139194,18,33,1,1,0,0,0,0,0,0,0,1.833333333,0.055555556,0.055555556,0.121212121,3,0.166666667,C18H33NO,1,0,0,0,13043.28537,0,0,4177020.313,6209494.025,0,0,7154563.035,4100598.9930000002,0,21524.02838,0,81358.70872000001,0,0,187075.421,116303.9993,0,49169.8825,220340.1958,529485.8715,0,0,261515.3681,1579858.9740000002,0,0,0,0,21599.2757,18533.89829,0,8850.306223,0,0,0,0,0,0,0,0
3858,281.1075569,2.42664791,12,16,2,4,1,0,0,0,0,0,0,1.333333333,0.166666667,0.333333333,0.5,7,0.583333333,C12H16N4O2S,1,745359.4035,430315.0301,226588.8379,103925.94900000001,4606201.162,11500000,16900000,15000000,5942616.755,4853866.654,14300000,14100000,4780243.91,7421447.155,5523815.534,9135116.472000001,18400000,20400000,18400000,18700000,7619690.081,18200000,11700000,16500000,17900000,10800000,19800000,19300000,1979731.4640000002,1221751.66,1423478.3669999999,1258737.709,1601362.355,1754680.382,2063949.009,136235.4914,918127.1673,417606.2935,1154797.0829999999,714318.5399,641326.9067,1053355.813,1033107.897,628110.15
3859,281.1743475,9.264338152,16,24,4,0,0,0,0,0,0,0,0,1.5,0.25,0,0.214285714,5,0.3125,C16H24O4,1,455307.9501,174190.9935,534052.1115,706899.859,984393.0502,437889.0157,12000000,12200000,1125682.563,594544.0733,15700000,40500000,7949254.601,308251.3911,27400000,11600000,4080912.515,9721462.061,36600000,27400000,15300000,11400000,6881839.154,28800000,2209913.91,5343005.727,7600102.522000001,38800000,807250.1515,952403.9791,3866728.1810000003,1182903.6670000001,383420.117,534473.2002,4150573.2189999996,136726.951,366674.5179,433732.9038,486787.1076,403695.2571,1092834.608,373476.1842,203704.4819,451735.3873
3860,281.1898208,9.964271495,20,24,1,0,0,0,0,0,0,0,0,1.2,0.05,0,0.435897436,9,0.45,C20H24O,1,18011.976919999997,11973.79921,0,21504.79175,6131897.281,2931351.915,232000000,207000000,229680.1096,725315.6626,236000000,240000000,1224341.217,842611.7357,161000000,183000000,15800000,6303955.985,244000000,233000000,31400000,24000000,317000000,259000000,2746479.0710000005,2860819.6380000003,272000000,281000000,33440.48752,22723.584890000002,47300000,45800000,33184.93795,29865.82939,61100000,438300.7647,30470.46021,63234.08624,30600000,25600000,61821.44827000001,29696.21436,29900000,22200000
3861,281.2108738,10.65787777,17,28,3,0,0,0,0,0,0,0,0,1.647058824,0.176470588,0,0.161290323,4,0.235294118,C17H28O3,1,396011.9912,145247.955,249773.5301,308511.2703,1437509.7019999998,629450.9816,4653762.469,17700000,345174.8815,768875.6265,4574828.112,23300000,392367.9879,820876.6036,1671144.629,569241.9279,644699.6879,614384.1809,1794924.852,2223875.511,1384652.5569999998,1058946.148,4146047.997,6592307.152000001,856041.1888,871446.2915,3728951.5039999997,17200000,176111.6596,343442.6369,596804.3259,1668034.418,473918.4499,719808.3781,723689.4763,63956.1962,573173.0474,147859.2615,174022.3917,498358.2959,612668.369,403218.7716,103280.0845,669258.333
3866,283.1536536,6.564734709,15,22,5,0,0,0,0,0,0,0,0,1.466666667,0.333333333,0,0.2,5,0.333333333,C15H22O5,1,2578137.597,2413437.465,2374967.424,3958085.264,4027881.728,4436561.108,8284767.862000001,9939112.327,5611767.541,4984878.01,4815466.092,7761027.997,4233121.538,2828082.937,4375314.811000001,4554368.153,5613845.6,5982344.188999999,71000000,5738558.586,4561568.518,3327103.2410000004,6980500.249,5108664.527,5539094.999,6436746.812999999,101000000,10800000,5058850.606000001,3428490.131,3039408.577,2792563.8589999997,4098711.5039999997,2816043.7539999997,3112004.8680000002,136748.2295,2751757.45,1964064.91,3177637.6319999998,2881445.8710000003,2519417.392,2904924.438,2873926.423,4883588.087
3867,283.153569,7.776411581,15,22,5,0,0,0,0,0,0,0,0,1.466666667,0.333333333,0,0.2,5,0.333333333,C15H22O5,1,1162103.446,688013.6161,325252.8367,1027324.9820000001,1685341.791,1484141.0590000001,40700000,55400000,1397022.908,1553446.5080000001,46900000,46600000,1112484.929,1396212.697,33300000,42100000,1154468.6509999998,1408774.718,32800000,49600000,1920828.0659999999,1267396.663,59300000,66600000,1837409.665,2025728.791,64800000,73300000,2247703.0640000002,1330378.935,5960407.062999999,6967427.5370000005,1471301.168,1198518.247,5368247.318,392066.8662,626697.5442,613231.8168,1186656,1061428.37,596586.9129,360465.1066,1979841.24,1797397.9640000002
3869,283.2056205,10.67025846,20,26,1,0,0,0,0,0,0,0,0,1.3,0.05,0,0.384615385,8,0.4,C20H26O,1,21581.56367,15798.4345,0,20052.699959999998,1989371.019,205742.7773,16600000,15600000,121517.0244,121367.8581,16500000,32500000,172942.1588,92114.90285,3513718.6210000003,816887.9761,1315262.478,392178.1895,3670316.3039999995,4009836.53,664670.6037,854785.817,6801349.597,3407932.147,103349.505,101186.9846,6478184.721,13100000,24785.73965,0,961065.1361,892223.5549,31275.200010000004,69304.29567,604303.1835,99100.18617,0,41178.76489,391546.7976,238716.2043,23538.253269999997,0,94273.69997999999,73606.16814
3872,284.2061469,3.202715771,10,27,5,4,0,0,0,0,0,0,0,2.7,0.5,0.4,0,-0.5,-0.05,C10H27N4O5,0.9998999,175331.24899999998,92339.75717000001,133994.0907,211113.5427,2622971.201,1073523.779,1687140.586,1599701.1630000002,1066098.4070000001,947551.2490000001,1763242.493,1832387.987,988185.0749,620066.4181,1977943.7040000001,1060201.2920000001,558168.3852,175226.2569,2472390.886,1236753.678,174469.8411,251013.7656,250738.3739,118680.4874,1083021.485,808653.1599,601190.5253,490236.085,898856.6408,917818.3911,902291.4218,162321.2818,187077.5349,451080.5094,451592.1497,25367.59077,1876398.82,1408660.461,1152586.912,1316772.132,1944372.093,2203722.47,379187.8842,1275519.5359999998
3876,285.1845129,10.19504286,19,24,2,0,0,0,0,0,0,0,0,1.263157895,0.105263158,0,0.388888889,8,0.421052632,C19H24O2,1,215853.1686,115092.5184,160536.7475,137404.7457,894052.7849,809024.6421,14700000,15900000,1515949.581,944617.1365,16700000,11900000,368338.3234,372028.4973,11200000,11700000,947811.185,583103.8771,15300000,13900000,1372620.3280000002,911192.141,20300000,14500000,520527.7794,1021825.429,14000000,16400000,424666.9589,307002.6577,1148027.697,878890.1835,135670.5058,519609.0635,1313102.2920000001,33895.40531,265096.7087,324698.075,285661.3972,455335.4921,440536.1347,416172.0041,440086.4295,561881.4733
3882,287.1261858,6.258573418,17,18,4,0,0,0,0,0,0,0,0,1.058823529,0.235294118,0,0.466666667,9,0.529411765,C17H18O4,1,139057.075,76453.93576000001,150791.2369,161113.0399,1159550.726,660018.3495,3821624.48,3639141.175,448755.685,1158205.741,3187282.313,3117485.785,652764.6012,436919.8693,1913402.8830000001,1500873.294,1505753.695,1467823.851,1446355.1940000001,2071010.927,352333.6086,864549.9701,3660306.2410000004,3432880.4060000004,424033.9065,861572.9765,2221083.566,3114971.5360000003,329279.9168,266297.0595,214318.8671,576471.3093,245324.754,211306.93600000002,173025.1021,46932.20512,204610.815,142426.8699,262903.093,434349.9184,277846.7398,231003.8332,232804.8193,256409.9718
3883,288.194322,3.433186829,13,25,4,3,0,0,0,0,0,0,0,1.923076923,0.307692308,0.230769231,0,3,0.230769231,C13H25N3O4,1,48505.98908,51533.79768,58740.9456,82358.01556,40866.82606,86658.62281,71282.62152,134520.4773,73527.89979,110620.1581,169314.5861,51555.70687,187093.6925,34877.28329,859320.7951,1394659.6090000002,31812.170510000004,29859.493360000004,1988357.18,1224374.9409999999,86548.58056,55232.87331,1821272.619,1851292.773,176305.8247,49273.08041,1882870.5780000002,1604727.3280000002,88226.54686,98272.50606,744089.1994,380953.029,109112.5493,168463.7865,735962.7553,65356.99769,91276.69624,116310.7375,151613.1238,215020.2951,130369.9826,90520.61207,330405.7003,249124.5134
3884,288.1996658,0.939523937,12,25,3,5,0,0,0,0,0,0,0,2.083333333,0.25,0.416666667,0,3,0.25,C12H25N5O3,1,94688.14289,61974.352929999994,39015.77706,70947.401,83182.33681000001,169894.6749,4335531.539,43500000,13464.984830000001,27811.74668,6274144.027000001,9012366.8,988007.7119,719568.3881,46300000,16900000,3108403.3210000005,10400000,62600000,32200000,13100000,11600000,52900000,90900000,1077596.7140000002,1619001.726,439000000,331000000,2847.237999,27199.596639999996,382018.9715,9274531.896,10887.89655,53221.09472,1752823.889,363098.3211,110794.823,259486.9524,6204495.13,45140.823769999995,45834.26533,83679.50001,7383597.346,355431.6291
3886,289.1417973,7.760424504,17,20,4,0,0,0,0,0,0,0,0,1.176470588,0.235294118,0,0.4,8,0.470588235,C17H20O4,1,1391502.489,507850.0014,1171864.7759999998,1298685.2820000001,2027277.483,2230608.63,3752335.2989999996,6908476.853999999,1223677.136,1595234.658,8299241.591,4572382.353999999,931668.4391,1092948.6809999999,4735005.088,5400277.509,857252.7602,665032.2319,15300000,4802989.005,1152904.16,411037.7944,7405323.318,8202658.716,1065905.174,1378868.761,6264108.882999999,7886358.026000001,1576530.96,1897444.719,1806931.794,2118572.273,1626833.451,1796898.7880000002,2241040.349,72006.27937,492290.6027,710374.1979,1015111.434,1090549.897,1054407.326,1066306.692,1652749.3169999998,2346915.577
3887,289.1793438,6.152920086,18,24,3,0,0,0,0,0,0,0,0,1.333333333,0.166666667,0,0.333333333,7,0.388888889,C18H24O3,1,250485.2831,310675.7836,310323.1299,201900.3131,1375243.9780000001,524085.1595,28300000,7646976.698,1574172.493,929096.8462,22700000,9353579.859,1102842.862,1113097.864,3234572.663,3407978.372,5281137.588,4449981.254,7364449.866,11300000,3956382.0489999996,1076190.827,5340388.367,17800000,713873.53,2490835.9,7180825.321,7625168.731000001,266072.8644,233401.3978,996520.3539,2147706.4669999997,457843.57700000005,270176.189,915493.6179,90073.88806,247627.43399999998,278306.6883,3903453.5319999997,1587737.36,254777.6335,191476.4785,3867979.631,1311735.136
3888,289.1793049,8.97376258,18,24,3,0,0,0,0,0,0,0,0,1.333333333,0.166666667,0,0.333333333,7,0.388888889,C18H24O3,1,721816.4573,978035.1069,406036.9583,663644.1418,6807622.901000001,23600000,107000000,31300000,7069134.956,12900000,106000000,129000000,12200000,10200000,56200000,66000000,83600000,42900000,89500000,94500000,24400000,23400000,41700000,101000000,47500000,20200000,132000000,59000000,2414110.726,13800000,3768053.982,2927291.7660000003,1739507.619,2225382.5069999998,4693976.845,216985.6118,939718.5203,1385620.8969999999,2632247.288,5089227.188999999,1135645.541,1735127.928,2672205.931,3300527.11
3890,291.1580087,9.961166332,17,22,4,0,0,0,0,0,0,0,0,1.294117647,0.235294118,0,0.333333333,7,0.411764706,C17H22O4,1,270001.5333,301400.521,397375.2848,306042.1654,872073.5969,2047233.2780000002,27800000,27500000,1249790.6909999999,1752445.379,35900000,38500000,989619.885,711473.6974,15100000,24100000,550587.1639,358305.7717,15900000,18500000,323795.3928,392790.1308,26900000,38100000,882520.0809,348808.0829,28400000,38900000,323620.5114,725510.7233,3207097.236,2609468.281,352833.7475,253714.3709,1659648.14,395633.6789,112322.7625,153449.3873,952781.1976,366016.7412,395723.9946,636386.7274,682798.8394,330405.5963
3891,291.1562865,10.89864093,18,23,1,0,0,0,1,0,0,0,0,1.277777778,0.055555556,0,0.4,7.5,0.416666667,C18H23ClO,1,27470.15212,6484.327835,20282.552,16913.447669999998,439791.1127,327997.7953,7250170.094,21000000,567909.2869,401135.1961,13800000,13700000,34063.58257,104888.3596,3230867.325,3655598.785,40204.28245,336783.2474,7409998.122,6798499.156,175769.97100000002,117845.5631,6447689.39,10800000,196359.5183,219820.1011,12700000,20400000,89020.38513,33300.75795,794232.7229,989837.0664,96545.93072,44589.196560000004,603741.3898,52216.46203,35458.02459,17895.03713,409009.7934,172562.8677,57275.03115,13602.779169999998,295646.8053,163352.6245
3892,291.1950848,6.1593292,18,26,3,0,0,0,0,0,0,0,0,1.444444444,0.166666667,0,0.272727273,6,0.333333333,C18H26O3,1,157582.7234,147082.3933,144132.0818,79235.10034,1338061.747,1448578.698,3857627.0330000003,4785088.45,1098836.092,1791272.573,3934210.4839999997,4641526.052,983566.7564,1912404.139,1762379.322,1278995.239,4688623.12,21400000,2238665.288,2569980.545,4479566.662,3099136.543,4440574.066000001,4225423.468,6348230.157000001,2695498.1569999997,5473832.029,6255040.432,341360.6634,106353.7098,560646.4931,444174.2703,262306.3637,260959.1313,299589.9841,7503.062283,175588.4959,214459.1197,447468.2623,271820.0901,202041.5168,215439.3054,408460.3569,409441.7553
3893,291.1950946,6.678186023,18,26,3,0,0,0,0,0,0,0,0,1.444444444,0.166666667,0,0.272727273,6,0.333333333,C18H26O3,1,504053.8045,437951.2824,603075.1007,451506.9536,2507765.795,683147.4757,1650088.119,1544028.302,4915245.852,1107062.149,1599058.081,2444540.201,940783.1985,775209.6923,844632.1949,860606.5782,3295573.233,2013980.034,1681298.245,1308463.705,1323856.51,1703857.7,1681435.621,2000610.619,1731025.938,990335.3273,2599801.114,2341021.454,694202.0627,458351.7886,369824.7551,220121.4104,126902.7316,595276.8987,434651.1159,27838.6237,550053.0202,581388.7361,687140.1754,897715.3281,404474.0816,544977.2027,409062.6719,557953.6311
3894,291.1950194,8.433095862,18,26,3,0,0,0,0,0,0,0,0,1.444444444,0.166666667,0,0.272727273,6,0.333333333,C18H26O3,1,309884.4207,557115.503,123382.9126,300345.9333,5161675.683,25300000,79200000,80000000,29000000,49600000,79800000,68900000,6388537.703,7733773.586,8785773.458999999,9898813.998,14500000,18400000,19000000,20700000,24100000,9689597.441,35200000,28800000,13200000,4900285.6280000005,19300000,28900000,552360.6156,754696.7931,1337501.321,1046031.691,940086.9559999999,603409.3836,2073944.054,67724.55154,595712.3585,418580.3731,331974.0446,1494976.529,1115245.618,1067573.122,1582318.8530000001,937672.8603
3901,294.1462582,2.462658619,11,17,2,8,0,0,0,0,0,0,0,1.545454545,0.181818182,0.727272727,1.25,7.5,0.681818182,C11H17N8O2,1,524402.4085,453713.2536,271127.1778,585314.8183,101586.6026,371389.4684,805313.8405,706777.6323,164349.8301,82725.00299,856299.2438,557067.5735,317963.3102,97864.28529,5377218.322000001,6728334.249,1470397.428,1257264.044,8073278.48,8948752.523,2770105.522,1949630.226,10000000,7421441.772999999,685044.4418,582883.2718,11300000,11600000,100740.4666,45186.99325,112322.7784,168727.5438,80523.98223,64457.22617,151756.2774,6566.866797,111141.9364,108298.6215,111689.3861,81183.38455,73347.28631,107757.5576,114800.4109,132673.0561
3902,294.1748172,1.168002692,15,23,3,3,0,0,0,0,0,0,0,1.533333333,0.2,0.2,0.285714286,6,0.4,C15H23N3O3,1,64639.53759,72294.11431,175077.2993,76411.58856,87702.08722,402279.0216,142588.6813,1668213.935,96360.25769,113618.3688,177067.3105,170209.57,190364.863,133826.9015,15300000,2392455.1319999998,177221.7106,120175.3552,27500000,13300000,71646.13545,233702.2845,2240168.897,11700000,153138.1054,176159.5653,50900000,44000000,103548.2299,149397.6517,145577.6093,7991013.833,132868.6274,184439.24399999998,75851.65864,260750.7845,58352.068770000005,65009.30394,10600000,56732.402879999994,69305.44608,92531.52308,12300000,347484.6221
3903,294.1806708,2.53019023,15,23,3,3,0,0,0,0,0,0,0,1.533333333,0.2,0.2,0.285714286,6,0.4,C15H23N3O3,1,16841.82207,13017.840559999999,24477.984819999998,27893.861960000002,26207.12668,13407.88174,24974.18414,352992.7687,9836.309895999999,26354.30215,88885.36525,77800.16122000001,38205.825469999996,19061.91273,21300000,274455.2619,96914.88617,265821.7028,57600000,24200000,102909.2416,132754.7176,72523.82017,2116838.056,35918.55327,49041.61845,183000000,120000000,11154.7882,16751.94178,18480.498030000002,27266.416639999996,21223.38621,19301.385130000002,17540.53846,6103.200452,30244.670489999997,19152.132169999997,27423.29497,7739.847289,16332.93309,25665.10309,75667.01492,22720.61886
3905,295.1283963,3.006498777,14,18,5,2,0,0,0,0,0,0,0,1.285714286,0.357142857,0.142857143,0.368421053,7,0.5,C14H18N2O5,1,231070.674,550875.8983,918844.9556,902279.7476,576231.3875,1351647.9719999998,17700000,20300000,1347321.769,1003995.193,21800000,22900000,476025.2622,295858.6846,15500000,15000000,6703749.123,15900000,23500000,22400000,20700000,6261923.622,27200000,25100000,1201645.992,14100000,23300000,22000000,1837214.289,556205.3978,1381546.535,780724.6795,916881.3857,420266.5224,17500000,9531.749827,599493.5608,590412.3496,1236593.883,573889.0514,1278875.557,1312802.078,706815.0179,406811.927
3909,295.1897852,8.839628219,17,26,4,0,0,0,0,0,0,0,0,1.529411765,0.235294118,0,0.2,5,0.294117647,C17H26O4,1,930446.5697,1249088.08,681756.6028,840553.3894,7565037.206,7362470.125,5154444.201,25500000,8118915.884,8182254.606000001,8372557.0770000005,60200000,21200000,9014676.419,12700000,7409440.781,16200000,11300000,13400000,9296450.857,10300000,11100000,9150532.751,17200000,40400000,54800000,7535544.6729999995,15300000,23300000,9302658.043,6023565.904,6339717.893999999,8288865.666,10800000,8062668.926,358992.3268,13500000,13200000,14900000,15300000,27500000,56700000,15900000,16200000
3910,295.1897791,9.207057376,17,26,4,0,0,0,0,0,0,0,0,1.529411765,0.235294118,0,0.2,5,0.294117647,C17H26O4,1,943492.0262,750954.0746,705640.8523,799313.6732,1363310.1619999998,3193664.9960000003,24000000,9850133.895,1359543.7130000002,3089997.687,6133162.589,9741750.604,2478410.905,1430154.658,4815974.973,7446766.391,4346837.287,2444078.14,5202963.029,7248968.977000001,4170384.2339999997,1781255.91,4068841.503,1706213.459,5095223.683,2514475.861,4667744.725,5372938.42,2275862.1119999997,2164436.055,2776591.0110000004,1262710.027,2061086.6330000001,3741281.642,2432393.04,91423.72158,1165196.019,3649226.2660000003,3274126.358,3476253.6969999997,2082405.378,2151267.615,1713685.4130000002,2305381.82
